yield_split,fee_day,lp_mean_%,rt_mean_%,joint_viable
0.05,0.0012,-1.9555991007454265,3.3202779513561994e-05,False
0.05,0.0018,-1.6365530495622191,0.0002407007225599374,False
0.05,0.0024,-1.4442041371322025,0.0003955799415053605,False
0.05,0.003,-1.2072209607087103,5.9473763519057337e-05,False
0.05,0.0036,-0.7171873114076575,5.287265195689236e-05,False
0.05,0.0042,-0.6213721730033325,6.663707476479568e-05,False
0.05,0.0048,-0.20438824075655165,0.00015227778533584275,False
0.15,0.0012,-1.9328504668566016,0.00016350538205810514,False
0.15,0.0018,-1.7559015937126066,1.2179006377534596e-06,False
0.15,0.0024,-1.3693324785793928,0.0002992934375218939,False
0.15,0.003,-1.0954292698883252,0.0003217601570700562,False
0.15,0.0036,-0.7286960552381818,0.00013472574350303457,False
0.15,0.0042,-0.5256568911166218,0.00022700239893569472,False
0.15,0.0048,-0.2362529094152025,-2.7468231404612884e-05,False
0.2,0.0012,-1.8909034730444714,0.0002937815869652829,False
0.2,0.0018,-1.515918544255262,0.000218739325491824,False
0.2,0.0024,-1.2550064311754705,0.00033327936545488713,False
0.2,0.003,-0.8895686939393312,0.0003943927083745325,False
0.2,0.0036,-0.9096723696769217,9.586043612077012e-05,False
0.2,0.0042,-0.2975127021629233,0.0003359466078466323,False
0.2,0.0048,-0.2080290958124073,-0.00010089231422266655,False
0.25,0.0012,-1.9389054000144452,0.0003579386167531263,False
0.25,0.0018,-1.6898585366853853,7.89808916579062e-06,False
0.25,0.0024,-1.307386550272776,0.00024144320815511363,False
0.25,0.003,-1.1382687327082386,4.104515518415815e-05,False
0.25,0.0036,-0.7290959044636096,0.00022770708776605365,False
0.25,0.0042,-0.4283382388498803,0.0001040997012198171,False
0.25,0.0048,-0.18522276209770283,-5.468809035314142e-06,False
0.3,0.0012,-1.7888384827191957,0.0005612604403844197,False
0.3,0.0018,-1.6422836748655265,8.904338962978896e-05,False
0.3,0.0024,-1.443255156539914,-7.093585366538439e-05,False
0.3,0.003,-1.0040219457079218,0.0003936008269838009,False
0.3,0.0036,-0.7741721905305227,8.065282727915996e-05,False
0.3,0.0042,-0.5736888916219843,0.00023074655390016666,False
0.3,0.0048,-0.15791352813135504,0.00022854792980384688,False
0.4,0.0012,-1.924423371012331,0.0002488555868624042,False
0.4,0.0018,-1.786674833717087,-9.048757699035186e-05,False
0.4,0.0024,-1.2551460507191965,6.866233690751744e-06,False
0.4,0.003,-0.9307096699949702,0.00044655650048916305,False
0.4,0.0036,-0.6943396593404263,0.00024480478843344895,False
0.4,0.0042,-0.5132859718305062,0.00033251618428874576,False
0.4,0.0048,0.08173533574097062,0.0005301661921403438,True
