supply_mult,demand_mult,imbalance,edge_pct,agent_pnl_usd,side,profitable
0.4,0.4,-0.998606726442685,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,0.5,-0.9982584080533562,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,0.6000000000000001,-0.9979100896640275,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,0.7000000000000001,-0.9975617712746987,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,0.8,-0.9972134528853699,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,0.9000000000000001,-0.9968651344960412,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,1.0,-0.9965168161067124,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,1.1,-0.9961684977173837,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,1.2000000000000002,-0.9958201793280549,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,1.3000000000000003,-0.9954718609387262,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,1.4000000000000004,-0.9951235425493974,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,1.5000000000000004,-0.9947752241600686,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,1.6,-0.9944269057707399,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,1.7000000000000002,-0.9940785873814111,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,1.8000000000000003,-0.9937302689920824,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,1.9000000000000004,-0.9933819506027536,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,2.0000000000000004,-0.9930336322134248,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,2.1000000000000005,-0.9926853138240961,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.4,2.2,-0.9923369954347673,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,0.4,-0.9988853811541479,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,0.5,-0.998606726442685,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,0.6000000000000001,-0.998328071731222,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,0.7000000000000001,-0.9980494170197589,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,0.8,-0.997770762308296,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,0.9000000000000001,-0.9974921075968329,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,1.0,-0.9972134528853699,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,1.1,-0.996934798173907,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,1.2000000000000002,-0.9966561434624439,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,1.3000000000000003,-0.9963774887509809,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,1.4000000000000004,-0.9960988340395179,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,1.5000000000000004,-0.9958201793280549,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,1.6,-0.9955415246165918,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,1.7000000000000002,-0.9952628699051289,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,1.8000000000000003,-0.9949842151936659,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
