strategy,yield_split,breakeven_fee_day,joint_viable,lp_mean_at_breakeven,rt_mean_at_breakeven
protocol_lp,0.0,0.005571,True,0.00025517612411220415,1.9743758162288764e-06
protocol_lp,0.022222,0.005086,True,0.0016099099891234462,5.838308511544522e-06
protocol_lp,0.044444,0.005571,True,0.003254468148608081,4.988570760320921e-06
protocol_lp,0.066667,0.005571,True,0.001048862962226886,2.218019524330012e-06
protocol_lp,0.088889,0.005086,True,0.00023364338374135457,3.5064611078935226e-06
protocol_lp,0.111111,0.006057,True,0.004443704707748456,3.560978143117807e-06
protocol_lp,0.133333,0.005086,True,0.0009413825990979313,5.896342815223927e-06
protocol_lp,0.155556,0.005571,True,0.003133311418630308,3.4604517775191753e-06
protocol_lp,0.177778,0.005571,True,0.0006889864451642522,6.503635617148256e-07
protocol_lp,0.2,0.005571,True,0.004192557581142692,4.187987060909441e-06
