venue,symbol,underlying,quote_ccy,option_type,strike,expiry_utc,T_years,spot,mark,bid,ask,iv,oi,volume,raw_timestamp_utc,fetch_timestamp_utc,mid,ba_spread_pct,intrinsic_put,intrinsic_call,below_intrinsic_flag
lyra,SOL-20260416-89-P,SOL,USD,put,89.0,2026-04-16T00:00:00+00:00,0.004416740511161847,86.2,3.2,0.0,0.0,0.58336,0.0,0.0,2026-04-14T09:19:04.154000+00:00,2026-04-14T09:18:33.671240+00:00,,,2.799999999999997,,False
lyra,SOL-20260416-79-C,SOL,USD,call,79.0,2026-04-16T00:00:00+00:00,0.004416740511161847,86.2,7.3,0.0,0.0,0.65488,0.0,0.0,2026-04-14T09:19:04.010000+00:00,2026-04-14T09:18:33.671240+00:00,,,,7.200000000000003,False
lyra,SOL-20260416-81-C,SOL,USD,call,81.0,2026-04-16T00:00:00+00:00,0.004416740511161847,86.2,5.4,0.0,0.0,0.62473,0.0,0.0,2026-04-14T09:19:04.819000+00:00,2026-04-14T09:18:33.671240+00:00,,,,5.200000000000003,False
lyra,SOL-20260416-95-P,SOL,USD,put,95.0,2026-04-16T00:00:00+00:00,0.004416740511161847,86.2,8.7,0.0,0.0,0.64699,0.0,0.0,2026-04-14T09:19:05.019000+00:00,2026-04-14T09:18:33.671240+00:00,,,8.799999999999997,,True
lyra,SOL-20260416-81-P,SOL,USD,put,81.0,2026-04-16T00:00:00+00:00,0.004416740511161847,86.2,0.1,0.0,0.0,0.62473,0.0,0.0,2026-04-14T09:19:04.207000+00:00,2026-04-14T09:18:33.671240+00:00,,,0.0,,False
lyra,SOL-20260416-86-P,SOL,USD,put,86.0,2026-04-16T00:00:00+00:00,0.004416740511161847,86.2,1.2,0.0,0.0,0.55421,0.0,0.0,2026-04-14T09:19:04.717000+00:00,2026-04-14T09:18:33.671240+00:00,,,0.0,,False
lyra,SOL-20260416-76-C,SOL,USD,call,76.0,2026-04-16T00:00:00+00:00,0.004416740511161847,86.2,10.2,0.0,0.0,0.69911,0.0,0.0,2026-04-14T09:19:04.010000+00:00,2026-04-14T09:18:33.671240+00:00,,,,10.200000000000003,False
lyra,SOL-20260416-75-C,SOL,USD,call,75.0,2026-04-16T00:00:00+00:00,0.004416740511161847,86.2,11.2,0.0,0.0,0.71362,0.0,0.0,2026-04-14T09:19:04.415000+00:00,2026-04-14T09:18:33.671240+00:00,,,,11.200000000000003,False
lyra,SOL-20260416-89-C,SOL,USD,call,89.0,2026-04-16T00:00:00+00:00,0.004416740511161847,86.2,0.5,0.0,0.0,0.58336,0.0,0.0,2026-04-14T09:19:03.909000+00:00,2026-04-14T09:18:33.671240+00:00,,,,0.0,False
lyra,SOL-20260416-78-C,SOL,USD,call,78.0,2026-04-16T00:00:00+00:00,0.004416740511161847,86.2,8.3,0.0,0.0,0.66975,0.0,0.0,2026-04-14T09:19:04.010000+00:00,2026-04-14T09:18:33.671240+00:00,,,,8.200000000000003,False
