week,imbalance,protocol_per_cap,market_per_cap,rel_edge,trade_notional,side,agent_pnl,cum_pnl,imb_bucket
0,-0.998070202275799,0.3353421687574212,0.3,0.11780722919140407,219.4580847104968,sell_protocol_buy_market,5.781001902624341,5.781001902624341,strong_supply
1,-0.998896960012073,0.32173147163901444,0.3,0.07243823879671485,213.9244551685959,sell_protocol_buy_market,2.723573133870598,8.50457503649494,strong_supply
2,-0.998913168389826,0.29118352229975436,0.3,-0.02938825900081876,217.36632203478877,none,0.0,8.50457503649494,strong_supply
3,-0.9984263507038548,0.3015589620300233,0.3,0.005196540100077751,205.53367882709426,none,0.0,8.50457503649494,strong_supply
4,-0.9981007142091446,0.258978485965428,0.3,-0.13673838011523998,192.10220791126378,buy_protocol_sell_market,5.575096922969009,14.079671959463948,strong_supply
5,-0.9986366779032692,0.24911891238584863,0.3,-0.16960362538050455,192.9559032103778,buy_protocol_sell_market,7.50233537839041,21.582007337854357,strong_supply
6,-0.9974725713858739,0.31305929659211734,0.3,0.04353098864039118,195.69966519289594,sell_protocol_buy_market,0.7944029839960298,22.376410321850386,strong_supply
7,-0.9977903983527074,0.34508031786139093,0.3,0.15026772620463658,196.6295366899991,sell_protocol_buy_market,7.0944561847131995,29.470866506563585,strong_supply
8,-0.9985273669450152,0.33657016690493335,0.3,0.12190055634977792,205.77493068699624,sell_protocol_buy_market,5.673249183891581,35.144115690455166,strong_supply
9,-0.9985867625581732,0.33751001565001854,0.3,0.12503338550006182,220.14349595310125,sell_protocol_buy_market,6.276294514872712,41.420410205327876,strong_supply
10,-0.9986729744803826,0.33196512177192694,0.3,0.10655040590642328,216.2075945645571,sell_protocol_buy_market,4.9652337371904665,46.38564394251834,strong_supply
11,-0.9976257765369936,0.3373736361128346,0.3,0.12457878704278214,198.49906003793222,sell_protocol_buy_market,5.632140098256,52.017784040774345,strong_supply
12,-0.9979072239786042,0.3491435690885569,0.3,0.1638118969618565,197.80529811143717,sell_protocol_buy_market,7.940610650819079,59.958394691593426,strong_supply
13,-0.9990140580302822,0.31975792987548257,0.3,0.06585976625160872,197.1883939435531,sell_protocol_buy_market,2.121338914303779,62.079733605897204,strong_supply
14,-0.9984838200633256,0.3390196718835734,0.3,0.13006557294524468,197.98984365734213,sell_protocol_buy_market,5.9435901428734095,68.02332374877061,strong_supply
15,-0.9985354359292902,0.3330331027110838,0.3,0.11011034237027939,190.6832958352272,sell_protocol_buy_market,4.58271123409599,72.6060349828666,strong_supply
16,-0.9985969437500817,0.26366462278941943,0.3,-0.12111792403526855,189.900544698014,buy_protocol_sell_market,4.621301387720884,77.2273363705875,strong_supply
17,-0.9988178001647079,0.26546884279440525,0.3,-0.11510385735198247,191.2166102880132,buy_protocol_sell_market,4.308331506720171,81.53566787730766,strong_supply
18,-0.9981941474000454,0.27903045053580033,0.3,-0.06989849821399885,200.7297942348989,buy_protocol_sell_market,1.800455818328544,83.3361236956362,strong_supply
19,-0.9982510742984477,0.2708673229917314,0.3,-0.09710892336089538,195.36152758878163,buy_protocol_sell_market,3.3470659520205515,86.68318964765676,strong_supply
20,-0.9984995432001114,0.2558169915694133,0.3,-0.14727669476862237,194.70337075844293,buy_protocol_sell_market,6.266140222582616,92.94932987023938,strong_supply
21,-0.9984061198501786,0.26083638590901015,0.3,-0.13054538030329943,204.90999497699596,buy_protocol_sell_market,5.566096026941784,98.51542589718116,strong_supply
22,-0.9985745029946417,0.2545805702331834,0.3,-0.15139809922272185,215.5695627013556,buy_protocol_sell_market,7.204211860561314,105.71963775774248,strong_supply
23,-0.9977200515315816,0.2653852975729687,0.3,-0.11538234142343762,218.17701187676212,buy_protocol_sell_market,4.934008200011849,110.65364595775432,strong_supply
24,-0.9971633740126563,0.28874353524515817,0.3,-0.037521549182806035,225.514532796415,buy_protocol_sell_market,-0.16767800342951444,110.4859679543248,strong_supply
25,-0.9980324431739221,0.2919984508571514,0.3,-0.02667183047616184,242.15715557936346,none,0.0,110.4859679543248,strong_supply
26,-0.9977797246053317,0.30829900646283115,0.3,0.02766335487610383,253.35971460209475,none,0.0,110.4859679543248,strong_supply
27,-0.9974882311779112,0.32680567441081826,0.3,0.0893522480360609,256.811781485071,sell_protocol_buy_market,4.572706965985381,115.05867492031018,strong_supply
28,-0.99861303187825,0.3161500779114639,0.3,0.053833593038213,249.9782838748506,sell_protocol_buy_market,1.7873642058792192,116.8460391261894,strong_supply
29,-0.9976574542183624,0.312637936862917,0.3,0.04212645620972344,248.82427745707247,sell_protocol_buy_market,0.9052070113497792,117.75124613753917,strong_supply
30,-0.9981357542994826,0.2949013809983881,0.3,-0.016995396672039642,237.1583709645478,none,0.0,117.75124613753917,strong_supply
31,-0.9976689010494674,0.29769242115059913,0.3,-0.007691929498002903,231.78061153230303,none,0.0,117.75124613753917,strong_supply
32,-0.9982327856061994,0.2966815149302907,0.3,-0.011061616899030957,229.71323876657553,none,0.0,117.75124613753917,strong_supply
33,-0.9976810360113647,0.3110942357391008,0.3,0.03698078579700259,231.84937946540668,sell_protocol_buy_market,0.48554725656479514,118.23679339410397,strong_supply
34,-0.9978159937743151,0.33015631686802904,0.3,0.10052105622676355,236.74947121060396,sell_protocol_buy_market,5.0087468312698595,123.24554022537383,strong_supply
35,-0.996815842385117,0.34885281320078626,0.3,0.16284271066928757,264.6907513451224,sell_protocol_buy_market,10.54867106933293,133.79421129470677,strong_supply
36,-0.9987537939060204,0.33289260982456176,0.3,0.10964203274853923,249.2412187959206,sell_protocol_buy_market,5.955023192889162,139.74923448759594,strong_supply
37,-0.9981126074035197,0.35528510316718115,0.3,0.18428367722393713,231.0574929526054,sell_protocol_buy_market,10.694519898861575,150.44375438645753,strong_supply
38,-0.9988425789085832,0.33317340345156404,0.3,0.11057801150521351,231.48421828336143,sell_protocol_buy_market,5.5957614012336165,156.03951578769113,strong_supply
39,-0.9985416257593319,0.27513449452015504,0.3,-0.0828850182661498,214.43735939697,buy_protocol_sell_market,2.758845022405199,158.79836081009634,strong_supply
40,-0.9975123847585129,0.33680241274204115,0.3,0.12267470914013723,191.74937661029145,sell_protocol_buy_market,5.331095311548416,164.12945612164475,strong_supply
41,-0.99700664767367,0.4124154409499527,0.3,0.3747181364998424,199.55682175533514,sell_protocol_buy_market,20.6372567163991,184.76671283804384,strong_supply
42,-0.9990452322975705,0.4020258583381788,0.3,0.34008619446059596,185.60095332659114,sell_protocol_buy_market,17.2656879915904,202.03240082963424,strong_supply
43,-0.9988661234445033,0.4180232837016438,0.3,0.3934109456721462,191.96295814527585,sell_protocol_buy_market,20.92843204607919,222.96083287571344,strong_supply
44,-0.9990332273872835,0.39744429337896336,0.3,0.32481431126321136,193.35452254330704,sell_protocol_buy_market,17.101104117969637,240.06193699368308,strong_supply
45,-0.9987207884291393,0.3243339012209605,0.3,0.08111300406986843,178.73541858807187,sell_protocol_buy_market,2.7407112533165248,242.8026482469996,strong_supply
