alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,lp_mean_%,lp_med_%,rt_mean_%,rt_cap_growth_%,premium_over_fv_mean,viable
0.1,0.2,0.1,0.1,0.05,0.6,-0.08590747336555338,1.5040939474838173,0.14270812206862915,15.122985985011738,0.837442119675315,False
0.1,0.2,0.1,0.1,0.05,0.7,-0.10362430018242123,1.5137847717994237,0.14284120643018364,15.117665840012616,0.8548885689741664,False
0.1,0.2,0.1,0.1,0.05,0.8,0.0903809215271205,1.5193172371275672,0.14241724832586322,15.110846320209358,0.8199900139167953,True
0.1,0.2,0.1,0.1,0.08,0.6,-0.07289648435648015,1.3945333858131113,0.14471188050913078,15.471940577681487,0.8643101547777017,False
0.1,0.2,0.1,0.1,0.08,0.7,-0.0706208340711701,1.3944052814423213,0.14545272406996462,15.454416564094897,0.8642353072864075,False
0.1,0.2,0.1,0.1,0.08,0.8,-0.1793719930547312,1.3784106566630763,0.1490776855994887,15.8174343045008,0.8201142170907644,False
0.1,0.2,0.1,0.1,0.12,0.6,-0.2663050116351372,1.3076774608538588,0.14591355746072443,15.544450889031914,0.8289425387712404,False
0.1,0.2,0.1,0.1,0.12,0.7,-0.28872098333235896,1.2979998266223316,0.14316735900751254,15.200177996288723,0.8395028984777869,False
0.1,0.2,0.1,0.1,0.12,0.8,-0.27992275289815655,1.2894238651762175,0.1444653704443063,15.268605043801298,0.8644095995295618,False
0.1,0.2,0.1,0.1,0.15,0.6,-0.35131981436797083,1.1475112347793919,0.14919932863704502,15.877751176302457,0.8734715316218107,False
0.1,0.2,0.1,0.1,0.15,0.7,-0.3519315285475469,1.1139290175869239,0.14864034352292407,15.734246111101147,0.8288913283591897,False
0.1,0.2,0.1,0.1,0.15,0.8,-0.33249293514964356,1.1233933984657034,0.15393299852652037,16.341193670612064,0.8034409435931328,False
0.1,0.2,0.1,0.22,0.05,0.6,-0.06654891991412724,1.5002057899169723,0.14203534496211467,15.170828056739927,0.864018996092356,False
0.1,0.2,0.1,0.22,0.05,0.7,-0.06957957203324817,1.3424366821448899,0.13956673170826886,14.73461832931402,0.8371638824894511,False
0.1,0.2,0.1,0.22,0.05,0.8,-0.15367597933888003,1.4238282937822038,0.14617745564866114,15.560320001121465,0.8459670840896812,False
