scenario,yield_split,lp_mean_%,lp_p5_%,rt_mean_%,rt_p5_%,joint_viable,score
low_fee_0.15pct_day,0.05,-1.7956177385481678,-9.913351955089075,4.644962859968248e-05,-0.018761100352702433,False,-1.8011949740625188
low_fee_0.15pct_day,0.1,-1.8272488089997632,-10.403446232023324,0.00032768839622537214,-0.018431199178209567,False,-1.832417711517378
low_fee_0.15pct_day,0.15,-1.6937159026215898,-9.596084035021835,0.00027152238901942394,-0.01849667685229642,False,-1.6989662310493572
low_fee_0.15pct_day,0.2,-1.7588683925171256,-9.829721111226771,0.00037870449188922423,-0.018863036633949753,False,-1.7641107285662325
low_fee_0.15pct_day,0.25,-1.7520641682593165,-9.832087545833812,0.0002882708449275464,-0.019202051217179418,False,-1.7575076856950502
low_fee_0.15pct_day,0.3,-1.747424874290478,-9.78111853860242,0.0004757060157785503,-0.018982385512531764,False,-1.7525963133268812
low_fee_0.15pct_day,0.4,-1.8584712658271267,-10.4483500361063,5.9051535019205826e-05,-0.019073035872663815,False,-1.8641282199004048
mid_fee_0.23pct_day,0.05,-1.3903262569458843,-10.04843990075579,0.00034860698083088445,-0.018655818835819234,False,-1.395539534917716
mid_fee_0.23pct_day,0.1,-1.4254191378433316,-9.741389148769402,0.0001150031791585732,-0.018670251068723966,False,-1.4308937096668746
mid_fee_0.23pct_day,0.15,-1.440805732442299,-10.10747929410921,0.00011583931064116538,-0.01911957738407832,False,-1.4464141824158172
mid_fee_0.23pct_day,0.2,-1.5080421515722329,-10.18122554713358,-1.09409945768013e-05,-0.019134780868308183,False,-1.5137946209267599
mid_fee_0.23pct_day,0.25,-1.4130438870211905,-9.972083432389185,0.00013212899722616524,-0.01885635380966114,False,-1.41855545126714
mid_fee_0.23pct_day,0.3,-1.4045446045456969,-9.641035810212587,0.0001763367480816897,-0.01882815661249017,False,-1.409999081106554
mid_fee_0.23pct_day,0.4,-1.395496049134127,-9.607398073916196,0.00018705941919682664,-0.019293910876472805,False,-1.4010784570359525
high_fee_0.35pct_day,0.05,-0.8498270972717612,-9.429135256956608,-6.745742155494559e-05,-0.01900450970647549,False,-0.8556026533474143
high_fee_0.35pct_day,0.1,-0.8843000122060456,-9.49800274578153,0.00026007439712977286,-0.018987253915609376,False,-0.8897101065438856
high_fee_0.35pct_day,0.15,-0.9212654638724369,-9.652479452656342,1.8089450521180945e-05,-0.01909915214039585,False,-0.9269753111189823
high_fee_0.35pct_day,0.2,-0.8609767169386437,-9.626793115327349,4.058581699560997e-06,-0.019274421050434892,False,-0.8667545788139046
high_fee_0.35pct_day,0.25,-0.8257339616725302,-9.38158794827199,0.00031731324292437246,-0.019170339965170185,False,-0.8311360190948645
high_fee_0.35pct_day,0.3,-0.7711385572599598,-8.996362200667383,0.00022987750558503233,-0.01967212614372466,False,-0.7767873298469337
high_fee_0.35pct_day,0.4,-0.7892646923505449,-9.178892791649039,0.0003227356733710969,-0.019908383786048808,False,-0.7948821982456513
high_fee_0.42pct_day,0.05,-0.5110038833348675,-9.417497075276444,9.978509755095543e-05,-0.019031202125211828,False,-0.5166034803651249
high_fee_0.42pct_day,0.1,-0.37849891572684446,-8.859781255269551,0.0004643313772137103,-0.01870122715171312,False,-0.3835985193574233
high_fee_0.42pct_day,0.15,-0.4803298098304905,-9.39370344453319,0.00021678824046467097,-0.019536295381278115,False,-0.4859522313803628
high_fee_0.42pct_day,0.2,-0.34227646409742174,-8.45485945642434,0.00034493350208282064,-0.01902445500367983,False,-0.3476043737462346
high_fee_0.42pct_day,0.25,-0.3956355564135579,-8.784659806720047,0.0002613337266506358,-0.01969402118970013,False,-0.40125629567115223
high_fee_0.42pct_day,0.3,-0.5317244595993842,-8.872015835180779,0.00010858254513585896,-0.01990924134073064,False,-0.5375777912019539
high_fee_0.42pct_day,0.4,-0.49201728008418666,-9.121261103870768,6.88456552063516e-05,-0.020039208286042897,False,-0.49795331234927254
