lp_mean_%,lp_med_%,rt_mean_%,rt_p5_%,m_vol_mean,m_amm_mean,imbalance_mean,imbalance_p95,alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,strict_feasible,robust_feasible,score
1.3930295534822126,1.4383753702173234,0.007112860671932644,-0.017658988707924744,1.1372494575299528,0.75,-0.9976537633543897,-0.9962803281486504,0.1,0.4,0.2,0.1,0.15,0.6,True,True,0.8945013908053618
1.25379416229414,1.2721484037731399,0.004561090745492238,-0.03669478969219154,1.1539985213190989,0.75,-0.9975453017717797,-0.9959171888310993,0.1,0.4,0.2,0.2,0.05,0.7,True,True,0.744589555311854
1.2165264497882622,1.3744535558999513,0.008387694636673855,-0.034300303469916436,1.172160736640303,0.75,-0.9976663311159574,-0.996088329415624,0.1,0.3,0.2,0.2,0.05,0.7,True,True,0.7128715619643042
1.2021845362590358,1.2861163566381657,0.010906562493918486,-0.049649197665268596,1.143410408764929,0.75,-0.9963639867243256,-0.9936836637358042,0.1,0.3,0.1,0.2,0.1,0.8,True,True,0.6954127321856305
1.167811035029909,1.500007716206014,0.008219201763690634,-0.030606247039512972,1.179962865855735,0.75,-0.9971650762439782,-0.9955398055341591,0.1,0.2,0.2,0.2,0.15,0.7,True,True,0.6654315783305325
1.164883502418149,1.253823893329106,0.005103483390488969,-0.04231974995144169,1.1571761657001844,0.75,-0.9960268301275306,-0.9933128228925517,0.1,0.3,0.3,0.2,0.05,0.7,True,True,0.6540797825061591
1.1577486636553387,1.0991376190193574,0.00464724520757614,-0.024730378673895277,1.1476269949399858,0.75,-0.9976959999445746,-0.9963016026752644,0.1,0.4,0.3,0.2,0.05,0.7,True,True,0.653433206434872
1.1280887268626703,1.3644397660767325,0.005418465014863835,-0.015738798734950307,1.1440558441903055,0.75,-0.9987522250050307,-0.9981870250173024,0.1,0.4,0.2,0.2,0.05,0.8,True,True,0.6282953653865266
1.0686067139511843,1.217285996628375,0.009091405508716519,-0.040598183234573336,1.1649690501990506,0.75,-0.9962272417723076,-0.9928445951959267,0.1,0.3,0.1,0.2,0.05,0.8,True,True,0.563277127267815
1.0535538280149654,1.2313299566173133,0.00468587825153955,-0.03912947333200349,1.163654926175555,0.75,-0.9976083710230588,-0.9953406454270507,0.1,0.3,0.2,0.2,0.1,0.8,True,True,0.5435250925840114
1.039545799214239,0.878769143833877,0.0021407388847675176,-0.026936640163273823,1.1692079854978101,0.75,-0.9982320311492587,-0.9972855666579714,0.1,0.2,0.2,0.2,0.1,0.8,True,True,0.5313400298106505
1.0336209869739446,0.9266880407742925,0.0043604168082435075,-0.029509125243346708,1.1536822957719806,0.75,-0.9974830779542511,-0.9959204309927832,0.1,0.4,0.3,0.2,0.05,0.8,True,True,0.5270498370464982
0.7706631681424291,0.7068177462269065,0.0041280780613939215,-0.02039053254565904,1.1222982054473492,0.8006698178432707,-0.9977652667753169,-0.9956121689474996,0.1,0.2,0.1,0.1,0.05,0.6,True,True,0.5208097380141918
0.9952490136849613,1.3476667029082618,0.005215193549654841,-0.038537853521322156,1.1446921169581732,0.75,-0.9964978421749012,-0.9937251105147443,0.1,0.4,0.1,0.2,0.15,0.6,True,True,0.48609210453601825
0.7334072948023758,1.2216184297308654,0.009205396214588728,-0.03634787629306443,1.154875386124617,0.8010636652566081,-0.9964495070057832,-0.9937112429865305,0.1,0.4,0.1,0.1,0.15,0.6,True,True,0.485232946025697
0.7158647200962729,0.7607784583176297,0.014895352981867933,-0.03175498317324879,1.1571765877416724,0.8009759101522783,-0.9967429701432906,-0.9949754912633682,0.1,0.4,0.1,0.1,0.15,0.8,True,True,0.47591670116660645
0.9772993956731834,0.9839149428957177,0.004112705470242431,-0.020388062615065917,1.1380376591810675,0.75,-0.998238173948841,-0.9970603779359776,0.1,0.4,0.3,0.2,0.15,0.8,True,True,0.47407941719144786
