demand_mult,supply_mult,imbalance,m_amm,pressure_pct
0.4,0.4,0.0,1.0,0.0
0.4,0.5,-0.19999999999999996,0.956,-4.400000000000004
0.4,0.6000000000000001,-0.3333333333333335,0.9222222222222223,-7.777777777777772
0.4,0.7000000000000001,-0.4285714285714286,0.8959183673469387,-10.408163265306136
0.4,0.8,-0.5,0.875,-12.5
0.4,0.9000000000000001,-0.5555555555555556,0.8580246913580246,-14.197530864197539
0.4,1.0,-0.6,0.844,-15.600000000000003
0.4,1.1,-0.6363636363636364,0.8322314049586776,-16.776859504132236
0.4,1.2000000000000002,-0.6666666666666667,0.8222222222222222,-17.777777777777782
0.4,1.3000000000000003,-0.6923076923076923,0.8136094674556213,-18.639053254437865
0.4,1.4000000000000004,-0.7142857142857144,0.8061224489795917,-19.387755102040828
0.4,1.5000000000000004,-0.7333333333333334,0.7995555555555555,-20.044444444444444
0.4,1.6,-0.75,0.79375,-20.624999999999993
0.4,1.7000000000000002,-0.7647058823529412,0.7885813148788927,-21.14186851211073
0.4,1.8000000000000003,-0.7777777777777778,0.7839506172839507,-21.604938271604933
0.4,1.9000000000000004,-0.7894736842105263,0.7797783933518005,-22.022160664819957
0.4,2.0000000000000004,-0.8,0.7759999999999999,-22.40000000000001
0.4,2.1000000000000005,-0.8095238095238095,0.772562358276644,-22.743764172335602
0.4,2.2,-0.8181818181818181,0.7694214876033059,-23.057851239669414
0.5,0.4,0.25,1.0562500000000001,5.625000000000013
0.5,0.5,0.0,1.0,0.0
0.5,0.6000000000000001,-0.16666666666666685,0.9638888888888889,-3.6111111111111094
0.5,0.7000000000000001,-0.2857142857142858,0.9346938775510204,-6.530612244897959
0.5,0.8,-0.375,0.9109375000000001,-8.906249999999982
0.5,0.9000000000000001,-0.44444444444444453,0.8913580246913579,-10.864197530864217
0.5,1.0,-0.5,0.875,-12.5
0.5,1.1,-0.5454545454545454,0.8611570247933884,-13.88429752066116
0.5,1.2000000000000002,-0.5833333333333335,0.8493055555555555,-15.069444444444446
0.5,1.3000000000000003,-0.6153846153846154,0.8390532544378698,-16.09467455621302
0.5,1.4000000000000004,-0.642857142857143,0.8301020408163265,-16.989795918367346
0.5,1.5000000000000004,-0.6666666666666667,0.8222222222222222,-17.777777777777782
0.5,1.6,-0.6875,0.8152343750000001,-18.476562499999982
0.5,1.7000000000000002,-0.7058823529411765,0.8089965397923875,-19.10034602076125
0.5,1.8000000000000003,-0.7222222222222223,0.803395061728395,-19.660493827160497
0.5,1.9000000000000004,-0.736842105263158,0.7983379501385042,-20.166204986149584
0.5,2.0000000000000004,-0.75,0.79375,-20.624999999999993
0.5,2.1000000000000005,-0.761904761904762,0.7895691609977324,-21.043083900226755
0.5,2.2,-0.7727272727272727,0.7857438016528926,-21.42561983471075
0.6000000000000001,0.4,0.5000000000000002,1.125,12.5
0.6000000000000001,0.5,0.20000000000000018,1.044,4.400000000000004
0.6000000000000001,0.6000000000000001,0.0,1.0,0.0
0.6000000000000001,0.7000000000000001,-0.1428571428571428,0.9693877551020408,-3.061224489795933
0.6000000000000001,0.8,-0.2499999999999999,0.9437500000000001,-5.624999999999991
0.6000000000000001,0.9000000000000001,-0.33333333333333337,0.9222222222222223,-7.777777777777772
0.6000000000000001,1.0,-0.3999999999999999,0.904,-9.599999999999998
0.6000000000000001,1.1,-0.4545454545454545,0.8884297520661156,-11.157024793388427
0.6000000000000001,1.2000000000000002,-0.5,0.875,-12.5
0.6000000000000001,1.3000000000000003,-0.5384615384615384,0.8633136094674556,-13.668639053254438
0.6000000000000001,1.4000000000000004,-0.5714285714285714,0.8530612244897959,-14.693877551020407
0.6000000000000001,1.5000000000000004,-0.6000000000000001,0.844,-15.600000000000003
0.6000000000000001,1.6,-0.625,0.8359375,-16.40625
0.6000000000000001,1.7000000000000002,-0.6470588235294117,0.828719723183391,-17.128027681660896
0.6000000000000001,1.8000000000000003,-0.6666666666666667,0.8222222222222222,-17.777777777777782
0.6000000000000001,1.9000000000000004,-0.6842105263157895,0.8163434903047091,-18.365650969529092
0.6000000000000001,2.0000000000000004,-0.7,0.8109999999999999,-18.900000000000006
0.6000000000000001,2.1000000000000005,-0.7142857142857143,0.8061224489795917,-19.387755102040828
0.6000000000000001,2.2,-0.7272727272727273,0.8016528925619835,-19.834710743801654
0.7000000000000001,0.4,0.7500000000000002,1.2062500000000003,20.62500000000005
0.7000000000000001,0.5,0.40000000000000013,1.096,9.600000000000009
0.7000000000000001,0.6000000000000001,0.16666666666666674,1.0361111111111112,3.6111111111111205
0.7000000000000001,0.7000000000000001,0.0,1.0,0.0
0.7000000000000001,0.8,-0.12499999999999989,0.9734375,-2.6562500000000044
0.7000000000000001,0.9000000000000001,-0.22222222222222232,0.9506172839506172,-4.938271604938283
0.7000000000000001,1.0,-0.29999999999999993,0.931,-6.899999999999995
0.7000000000000001,1.1,-0.36363636363636354,0.9140495867768594,-8.595041322314056
0.7000000000000001,1.2000000000000002,-0.41666666666666663,0.8993055555555555,-10.069444444444454
0.7000000000000001,1.3000000000000003,-0.46153846153846156,0.8863905325443787,-11.360946745562128
0.7000000000000001,1.4000000000000004,-0.5,0.875,-12.5
0.7000000000000001,1.5000000000000004,-0.5333333333333334,0.8648888888888888,-13.511111111111118
0.7000000000000001,1.6,-0.5625,0.855859375,-14.414062500000014
0.7000000000000001,1.7000000000000002,-0.588235294117647,0.8477508650519031,-15.22491349480969
0.7000000000000001,1.8000000000000003,-0.6111111111111112,0.8404320987654321,-15.956790123456788
0.7000000000000001,1.9000000000000004,-0.631578947368421,0.8337950138504155,-16.620498614958446
0.7000000000000001,2.0000000000000004,-0.65,0.82775,-17.225
0.7000000000000001,2.1000000000000005,-0.6666666666666667,0.8222222222222222,-17.777777777777782
0.7000000000000001,2.2,-0.6818181818181818,0.8171487603305785,-18.28512396694215
0.8,0.4,1.0,1.3,30.000000000000004
0.8,0.5,0.6000000000000001,1.1560000000000001,15.600000000000014
0.8,0.6000000000000001,0.33333333333333304,1.0777777777777777,7.777777777777772
0.8,0.7000000000000001,0.1428571428571428,1.030612244897959,3.0612244897959107
0.8,0.8,0.0,1.0,0.0
0.8,0.9000000000000001,-0.11111111111111127,0.9765432098765432,-2.3456790123456805
0.8,1.0,-0.19999999999999996,0.956,-4.400000000000004
0.8,1.1,-0.2727272727272727,0.9380165289256198,-6.198347107438018
0.8,1.2000000000000002,-0.3333333333333335,0.9222222222222223,-7.777777777777772
0.8,1.3000000000000003,-0.3846153846153847,0.908284023668639,-9.171597633136097
