alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,weeks,lp_mean_%,rt_mean_%,rt_p5_%,breakeven_bps_per_week,joint_lp_rt_viable
0.3,0.4,0.2,0.1,0.15,0.6,137,1.0269843404178094,5.81636989688526e-05,-0.018351451433477717,88.59579477869906,True
0.3,0.4,0.3,0.2,0.15,0.7,137,1.0269843404178094,5.81636989688526e-05,-0.018351451433477717,88.59579477869906,True
0.3,0.4,0.2,0.2,0.15,0.7,137,1.0269843404178094,5.81636989688526e-05,-0.018351451433477717,88.59579477869906,True
0.3,0.4,0.2,0.2,0.15,0.6,137,1.0269843404178094,5.81636989688526e-05,-0.018351451433477717,88.59579477869906,True
0.3,0.4,0.3,0.1,0.1,0.6,137,1.0254049180340417,5.599601457087675e-05,-0.018373945161192572,88.4327981487439,True
0.3,0.4,0.3,0.2,0.1,0.8,137,1.0254049180340417,5.599601457087675e-05,-0.018373945161192572,88.4327981487439,True
0.3,0.4,0.2,0.1,0.1,0.8,137,1.0254049180340417,5.599601457087675e-05,-0.018373945161192572,88.4327981487439,True
0.3,0.3,0.1,0.2,0.15,0.8,137,1.0173201885302479,8.506374367056436e-05,-0.0182941616608863,87.61941840206445,True
0.3,0.3,0.2,0.2,0.15,0.7,137,1.0173201885302479,8.506374367056436e-05,-0.0182941616608863,87.61941840206445,True
0.3,0.3,0.2,0.1,0.15,0.7,137,1.0173201885302479,8.506374367056436e-05,-0.0182941616608863,87.61941840206445,True
0.3,0.3,0.3,0.1,0.1,0.7,137,1.01574076614648,8.289613278154455e-05,-0.018321709217843627,87.45642177210928,True
0.3,0.3,0.2,0.1,0.1,0.7,137,1.01574076614648,8.289613278154455e-05,-0.018321709217843627,87.45642177210928,True
0.3,0.2,0.2,0.2,0.15,0.6,137,1.007656036642686,0.0001119628225349839,-0.018236874132925962,86.64304202542985,True
0.3,0.2,0.3,0.1,0.1,0.8,137,1.0060766142589188,0.0001097952851495346,-0.018269475279314325,86.48004539547466,True
0.3,0.2,0.3,0.1,0.1,0.7,137,1.0060766142589188,0.0001097952851495346,-0.018269475279314325,86.48004539547466,True
0.3,0.2,0.3,0.2,0.05,0.8,137,1.0044971918751506,0.00010762777746170354,-0.01826746263257219,86.31704876551946,True
0.3,0.2,0.2,0.2,0.05,0.6,137,1.0044971918751506,0.00010762777746170354,-0.01826746263257219,86.31704876551946,True
0.2,0.4,0.1,0.1,0.15,0.6,137,0.9765345350218754,0.00018422425416473012,-0.01820398301028457,83.46761188826929,True
0.2,0.4,0.1,0.1,0.1,0.7,137,0.9751092784513334,0.00018154572845598734,-0.018249065699708297,83.32006842265974,True
0.2,0.4,0.1,0.1,0.05,0.6,137,0.9733756850704214,0.0001798896149307111,-0.01825667463188429,83.1416180771281,True
0.2,0.3,0.1,0.1,0.1,0.8,137,0.9649131873257619,0.00020986181074520398,-0.01818831023736454,82.2898578506347,True
0.3,0.4,0.1,0.1,0.15,0.6,137,0.892080432388942,0.00044179909665274716,-0.017842464263247513,75.07999267976662,True
0.3,0.2,0.1,0.1,0.1,0.7,137,0.8700374637568656,0.0004964792870897463,-0.017729682883188477,72.84940891257715,True
0.3,0.2,0.1,0.1,0.05,0.7,137,0.8684580390339739,0.000494312924681399,-0.017727669328588568,72.68641203419725,True
0.1,0.4,0.2,0.1,0.15,0.6,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.1,0.2,0.15,0.6,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.3,0.2,0.15,0.8,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.2,0.2,0.15,0.6,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.2,0.1,0.15,0.7,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.3,0.1,0.15,0.8,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.3,0.2,0.15,0.6,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.2,0.2,0.15,0.8,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.3,0.1,0.15,0.6,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.2,0.1,0.15,0.8,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.3,0.1,0.15,0.7,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.3,0.2,0.15,0.7,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.2,0.2,0.15,0.7,137,1.1852478141744738,-0.0004247993154939192,-0.019014002158387874,104.31391857710229,False
0.1,0.4,0.2,0.2,0.1,0.7,137,1.1836683917907063,-0.00042696847849552923,-0.019058620159665206,104.15092194714708,False
0.1,0.4,0.2,0.2,0.1,0.6,137,1.1836683917907063,-0.00042696847849552923,-0.019058620159665206,104.15092194714708,False
0.1,0.4,0.1,0.2,0.1,0.6,137,1.1836683917907063,-0.00042696847849552923,-0.019058620159665206,104.15092194714708,False
0.1,0.4,0.2,0.2,0.1,0.8,137,1.1836683917907063,-0.00042696847849552923,-0.019058620159665206,104.15092194714708,False
0.1,0.4,0.3,0.2,0.1,0.8,137,1.1836683917907063,-0.00042696847849552923,-0.019058620159665206,104.15092194714708,False
0.1,0.4,0.2,0.1,0.1,0.7,137,1.1836683917907063,-0.00042696847849552923,-0.019058620159665206,104.15092194714708,False
0.1,0.4,0.3,0.2,0.1,0.6,137,1.1836683917907063,-0.00042696847849552923,-0.019058620159665206,104.15092194714708,False
0.1,0.4,0.2,0.1,0.1,0.6,137,1.1836683917907063,-0.00042696847849552923,-0.019058620159665206,104.15092194714708,False
0.1,0.4,0.3,0.1,0.1,0.6,137,1.1836683917907063,-0.00042696847849552923,-0.019058620159665206,104.15092194714708,False
0.1,0.4,0.2,0.1,0.1,0.8,137,1.1836683917907063,-0.00042696847849552923,-0.019058620159665206,104.15092194714708,False
0.1,0.4,0.2,0.2,0.05,0.7,137,1.182088969406938,-0.0004291376117863548,-0.019103238309034817,103.98792531719188,False
0.1,0.4,0.3,0.2,0.05,0.7,137,1.182088969406938,-0.0004291376117863548,-0.019103238309034817,103.98792531719188,False
0.1,0.4,0.2,0.2,0.05,0.8,137,1.182088969406938,-0.0004291376117863548,-0.019103238309034817,103.98792531719188,False
0.1,0.4,0.3,0.2,0.05,0.8,137,1.182088969406938,-0.0004291376117863548,-0.019103238309034817,103.98792531719188,False
0.1,0.4,0.1,0.2,0.05,0.7,137,1.182088969406938,-0.0004291376117863548,-0.019103238309034817,103.98792531719188,False
0.1,0.4,0.3,0.1,0.05,0.6,137,1.182088969406938,-0.0004291376117863548,-0.019103238309034817,103.98792531719188,False
0.1,0.4,0.1,0.2,0.05,0.6,137,1.182088969406938,-0.0004291376117863548,-0.019103238309034817,103.98792531719188,False
0.1,0.4,0.1,0.2,0.05,0.8,137,1.182088969406938,-0.0004291376117863548,-0.019103238309034817,103.98792531719188,False
0.1,0.4,0.3,0.1,0.05,0.7,137,1.182088969406938,-0.0004291376117863548,-0.019103238309034817,103.98792531719188,False
0.1,0.4,0.2,0.1,0.05,0.8,137,1.182088969406938,-0.0004291376117863548,-0.019103238309034817,103.98792531719188,False
0.1,0.4,0.3,0.1,0.05,0.8,137,1.182088969406938,-0.0004291376117863548,-0.019103238309034817,103.98792531719188,False
0.1,0.4,0.2,0.1,0.05,0.7,137,1.182088969406938,-0.0004291376117863548,-0.019103238309034817,103.98792531719188,False
0.1,0.3,0.3,0.1,0.15,0.7,137,1.1755836622869122,-0.0003978819020139468,-0.018956675248294495,103.33754220046768,False
0.1,0.3,0.1,0.2,0.15,0.7,137,1.1755836622869122,-0.0003978819020139468,-0.018956675248294495,103.33754220046768,False
0.1,0.3,0.2,0.1,0.15,0.6,137,1.1755836622869122,-0.0003978819020139468,-0.018956675248294495,103.33754220046768,False
0.1,0.3,0.3,0.2,0.15,0.7,137,1.1755836622869122,-0.0003978819020139468,-0.018956675248294495,103.33754220046768,False
0.1,0.3,0.2,0.2,0.15,0.6,137,1.1755836622869122,-0.0003978819020139468,-0.018956675248294495,103.33754220046768,False
0.1,0.3,0.2,0.2,0.15,0.7,137,1.1755836622869122,-0.0003978819020139468,-0.018956675248294495,103.33754220046768,False
0.1,0.3,0.2,0.2,0.15,0.8,137,1.1755836622869122,-0.0003978819020139468,-0.018956675248294495,103.33754220046768,False
0.1,0.3,0.2,0.1,0.15,0.8,137,1.1755836622869122,-0.0003978819020139468,-0.018956675248294495,103.33754220046768,False
0.1,0.3,0.3,0.2,0.15,0.8,137,1.1755836622869122,-0.0003978819020139468,-0.018956675248294495,103.33754220046768,False
0.1,0.3,0.3,0.1,0.15,0.8,137,1.1755836622869122,-0.0003978819020139468,-0.018956675248294495,103.33754220046768,False
0.1,0.3,0.1,0.2,0.1,0.8,137,1.1740042399031445,-0.000400050991405593,-0.019001292257160185,103.1745455705125,False
0.1,0.3,0.2,0.2,0.1,0.8,137,1.1740042399031445,-0.000400050991405593,-0.019001292257160185,103.1745455705125,False
0.1,0.3,0.3,0.2,0.1,0.7,137,1.1740042399031445,-0.000400050991405593,-0.019001292257160185,103.1745455705125,False
0.1,0.3,0.2,0.2,0.1,0.7,137,1.1740042399031445,-0.000400050991405593,-0.019001292257160185,103.1745455705125,False
0.1,0.3,0.3,0.2,0.1,0.8,137,1.1740042399031445,-0.000400050991405593,-0.019001292257160185,103.1745455705125,False
0.1,0.3,0.2,0.1,0.1,0.8,137,1.1740042399031445,-0.000400050991405593,-0.019001292257160185,103.1745455705125,False
0.1,0.3,0.2,0.2,0.1,0.6,137,1.1740042399031445,-0.000400050991405593,-0.019001292257160185,103.1745455705125,False
0.1,0.3,0.3,0.1,0.1,0.7,137,1.1740042399031445,-0.000400050991405593,-0.019001292257160185,103.1745455705125,False
0.1,0.3,0.2,0.2,0.05,0.7,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.3,0.3,0.2,0.05,0.7,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.3,0.1,0.2,0.05,0.8,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.3,0.3,0.2,0.05,0.8,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.3,0.2,0.1,0.05,0.8,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.3,0.3,0.1,0.05,0.8,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.3,0.3,0.1,0.05,0.7,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.3,0.2,0.2,0.05,0.6,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.3,0.3,0.2,0.05,0.6,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.3,0.2,0.1,0.05,0.7,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.3,0.1,0.2,0.05,0.6,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.3,0.1,0.2,0.05,0.7,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.3,0.3,0.1,0.05,0.6,137,1.1724248175193763,-0.000402220051087053,-0.019045909414111765,103.01154894055729,False
0.1,0.2,0.2,0.2,0.15,0.7,137,1.1659195103993505,-0.000370965455630187,-0.018899350585240282,102.36116582383306,False
0.1,0.2,0.3,0.1,0.15,0.6,137,1.1659195103993505,-0.000370965455630187,-0.018899350585240282,102.36116582383306,False
0.1,0.2,0.2,0.1,0.15,0.6,137,1.1659195103993505,-0.000370965455630187,-0.018899350585240282,102.36116582383306,False
0.1,0.2,0.1,0.2,0.15,0.7,137,1.1659195103993505,-0.000370965455630187,-0.018899350585240282,102.36116582383306,False
0.1,0.2,0.2,0.1,0.15,0.8,137,1.1659195103993505,-0.000370965455630187,-0.018899350585240282,102.36116582383306,False
0.1,0.2,0.1,0.2,0.15,0.8,137,1.1659195103993505,-0.000370965455630187,-0.018899350585240282,102.36116582383306,False
0.1,0.2,0.1,0.2,0.15,0.6,137,1.1659195103993505,-0.000370965455630187,-0.018899350585240282,102.36116582383306,False
0.1,0.2,0.2,0.1,0.15,0.7,137,1.1659195103993505,-0.000370965455630187,-0.018899350585240282,102.36116582383306,False
0.1,0.2,0.3,0.1,0.15,0.7,137,1.1659195103993505,-0.000370965455630187,-0.018899350585240282,102.36116582383306,False
0.1,0.2,0.2,0.2,0.1,0.8,137,1.1643400880155828,-0.00037313447141726586,-0.01894396660173831,102.19816919387789,False
0.1,0.2,0.2,0.2,0.1,0.7,137,1.1643400880155828,-0.00037313447141726586,-0.01894396660173831,102.19816919387789,False
0.1,0.2,0.3,0.2,0.1,0.6,137,1.1643400880155828,-0.00037313447141726586,-0.01894396660173831,102.19816919387789,False
0.1,0.2,0.2,0.1,0.1,0.6,137,1.1643400880155828,-0.00037313447141726586,-0.01894396660173831,102.19816919387789,False
0.1,0.2,0.2,0.1,0.1,0.8,137,1.1643400880155828,-0.00037313447141726586,-0.01894396660173831,102.19816919387789,False
0.1,0.2,0.3,0.1,0.1,0.6,137,1.1643400880155828,-0.00037313447141726586,-0.01894396660173831,102.19816919387789,False
0.1,0.2,0.3,0.1,0.1,0.7,137,1.1643400880155828,-0.00037313447141726586,-0.01894396660173831,102.19816919387789,False
0.1,0.2,0.2,0.2,0.1,0.6,137,1.1643400880155828,-0.00037313447141726586,-0.01894396660173831,102.19816919387789,False
0.1,0.2,0.2,0.1,0.1,0.7,137,1.1643400880155828,-0.00037313447141726586,-0.01894396660173831,102.19816919387789,False
0.1,0.2,0.3,0.2,0.1,0.8,137,1.1643400880155828,-0.00037313447141726586,-0.01894396660173831,102.19816919387789,False
0.1,0.2,0.1,0.2,0.1,0.6,137,1.1643400880155828,-0.00037313447141726586,-0.01894396660173831,102.19816919387789,False
0.1,0.2,0.3,0.1,0.1,0.8,137,1.1643400880155828,-0.00037313447141726586,-0.01894396660173831,102.19816919387789,False
0.1,0.2,0.2,0.1,0.05,0.8,137,1.1627606656318148,-0.00037530345749475845,-0.018988582766315844,102.03517256392269,False
0.1,0.2,0.2,0.1,0.05,0.6,137,1.1627606656318148,-0.00037530345749475845,-0.018988582766315844,102.03517256392269,False
0.1,0.2,0.3,0.1,0.05,0.6,137,1.1627606656318148,-0.00037530345749475845,-0.018988582766315844,102.03517256392269,False
0.1,0.2,0.3,0.2,0.05,0.8,137,1.1627606656318148,-0.00037530345749475845,-0.018988582766315844,102.03517256392269,False
0.1,0.2,0.3,0.1,0.05,0.7,137,1.1627606656318148,-0.00037530345749475845,-0.018988582766315844,102.03517256392269,False
0.1,0.2,0.3,0.1,0.05,0.8,137,1.1627606656318148,-0.00037530345749475845,-0.018988582766315844,102.03517256392269,False
0.1,0.2,0.3,0.2,0.05,0.7,137,1.1627606656318148,-0.00037530345749475845,-0.018988582766315844,102.03517256392269,False
0.1,0.2,0.1,0.2,0.05,0.7,137,1.1627606656318148,-0.00037530345749475845,-0.018988582766315844,102.03517256392269,False
0.1,0.2,0.2,0.1,0.05,0.7,137,1.1627606656318148,-0.00037530345749475845,-0.018988582766315844,102.03517256392269,False
0.2,0.4,0.2,0.2,0.15,0.6,137,1.1061160772961411,-0.00018327910219354622,-0.018682657041201225,96.45485667790068,False
0.2,0.4,0.3,0.1,0.15,0.6,137,1.1061160772961411,-0.00018327910219354622,-0.018682657041201225,96.45485667790068,False
0.2,0.4,0.3,0.2,0.15,0.7,137,1.1061160772961411,-0.00018327910219354622,-0.018682657041201225,96.45485667790068,False
0.2,0.4,0.3,0.1,0.1,0.7,137,1.1045366549123736,-0.00018544752565547928,-0.018727265033507547,96.29186004794548,False
0.2,0.4,0.1,0.2,0.1,0.8,137,1.1045366549123736,-0.00018544752565547928,-0.018727265033507547,96.29186004794548,False
0.2,0.4,0.2,0.2,0.1,0.8,137,1.1045366549123736,-0.00018544752565547928,-0.018727265033507547,96.29186004794548,False
0.2,0.4,0.3,0.1,0.1,0.8,137,1.1045366549123736,-0.00018544752565547928,-0.018727265033507547,96.29186004794548,False
0.2,0.4,0.3,0.2,0.1,0.8,137,1.1045366549123736,-0.00018544752565547928,-0.018727265033507547,96.29186004794548,False
0.2,0.4,0.1,0.2,0.1,0.7,137,1.1045366549123736,-0.00018544752565547928,-0.018727265033507547,96.29186004794548,False
0.2,0.4,0.2,0.2,0.1,0.7,137,1.1045366549123736,-0.00018544752565547928,-0.018727265033507547,96.29186004794548,False
0.2,0.4,0.3,0.2,0.1,0.7,137,1.1045366549123736,-0.00018544752565547928,-0.018727265033507547,96.29186004794548,False
0.2,0.4,0.3,0.1,0.05,0.7,137,1.102957232528606,-0.0001876159194126114,-0.01876403258065967,96.12886341799026,False
0.2,0.4,0.3,0.1,0.05,0.8,137,1.102957232528606,-0.0001876159194126114,-0.01876403258065967,96.12886341799026,False
0.2,0.4,0.2,0.2,0.05,0.7,137,1.102957232528606,-0.0001876159194126114,-0.01876403258065967,96.12886341799026,False
0.2,0.4,0.2,0.2,0.05,0.6,137,1.102957232528606,-0.0001876159194126114,-0.01876403258065967,96.12886341799026,False
0.2,0.4,0.3,0.2,0.05,0.8,137,1.102957232528606,-0.0001876159194126114,-0.01876403258065967,96.12886341799026,False
0.2,0.3,0.3,0.2,0.15,0.6,137,1.09645192540858,-0.00015637037592402823,-0.01862534870514484,95.47848030126607,False
0.2,0.3,0.3,0.2,0.15,0.7,137,1.09645192540858,-0.00015637037592402823,-0.01862534870514484,95.47848030126607,False
0.2,0.3,0.3,0.1,0.15,0.6,137,1.09645192540858,-0.00015637037592402823,-0.01862534870514484,95.47848030126607,False
0.2,0.3,0.3,0.1,0.15,0.8,137,1.09645192540858,-0.00015637037592402823,-0.01862534870514484,95.47848030126607,False
0.2,0.3,0.2,0.2,0.15,0.8,137,1.09645192540858,-0.00015637037592402823,-0.01862534870514484,95.47848030126607,False
0.2,0.3,0.2,0.1,0.15,0.7,137,1.09645192540858,-0.00015637037592402823,-0.01862534870514484,95.47848030126607,False
0.2,0.3,0.3,0.2,0.1,0.7,137,1.094872503024812,-0.00015853872582652346,-0.018669955705483292,95.31548367131087,False
0.2,0.3,0.3,0.1,0.1,0.8,137,1.094872503024812,-0.00015853872582652346,-0.018669955705483292,95.31548367131087,False
0.2,0.3,0.3,0.2,0.1,0.8,137,1.094872503024812,-0.00015853872582652346,-0.018669955705483292,95.31548367131087,False
0.2,0.3,0.3,0.1,0.1,0.7,137,1.094872503024812,-0.00015853872582652346,-0.018669955705483292,95.31548367131087,False
0.2,0.3,0.2,0.2,0.1,0.7,137,1.094872503024812,-0.00015853872582652346,-0.018669955705483292,95.31548367131087,False
0.2,0.3,0.1,0.2,0.1,0.7,137,1.094872503024812,-0.00015853872582652346,-0.018669955705483292,95.31548367131087,False
0.2,0.3,0.3,0.2,0.05,0.8,137,1.0932930806410441,-0.0001607070460248205,-0.018711778198707008,95.15248704135564,False
0.2,0.3,0.1,0.2,0.05,0.7,137,1.0932930806410441,-0.0001607070460248205,-0.018711778198707008,95.15248704135564,False
0.2,0.3,0.3,0.2,0.05,0.6,137,1.0932930806410441,-0.0001607070460248205,-0.018711778198707008,95.15248704135564,False
0.2,0.3,0.2,0.2,0.05,0.7,137,1.0932930806410441,-0.0001607070460248205,-0.018711778198707008,95.15248704135564,False
0.2,0.3,0.1,0.2,0.05,0.6,137,1.0932930806410441,-0.0001607070460248205,-0.018711778198707008,95.15248704135564,False
0.2,0.3,0.3,0.2,0.05,0.7,137,1.0932930806410441,-0.0001607070460248205,-0.018711778198707008,95.15248704135564,False
0.2,0.3,0.3,0.1,0.05,0.8,137,1.0932930806410441,-0.0001607070460248205,-0.018711778198707008,95.15248704135564,False
0.2,0.2,0.3,0.2,0.15,0.6,137,1.0867877735210185,-0.00012946261612095482,-0.01856804261492308,94.50210392463144,False
0.2,0.2,0.2,0.1,0.15,0.6,137,1.0867877735210185,-0.00012946261612095482,-0.01856804261492308,94.50210392463144,False
0.2,0.2,0.3,0.2,0.15,0.7,137,1.0867877735210185,-0.00012946261612095482,-0.01856804261492308,94.50210392463144,False
0.2,0.2,0.3,0.1,0.15,0.8,137,1.0867877735210185,-0.00012946261612095482,-0.01856804261492308,94.50210392463144,False
0.2,0.2,0.2,0.2,0.1,0.7,137,1.0852083511372508,-0.00013163089246940723,-0.01861264862333769,94.33910729467628,False
0.2,0.2,0.1,0.2,0.1,0.6,137,1.0852083511372508,-0.00013163089246940723,-0.01861264862333769,94.33910729467628,False
