strategy,weeks,lp_mean_%,lp_p5_%,breakeven_bps_per_week,avg_turnover_notional,rt_mean_%,rt_p5_%,joint_lp_rt_viable
protocol_corridor_lp_rt,151,0.830350348741094,-4.90721576197259,68.15895877367733,,-0.0007501480848971483,-0.017160807621331958,False
fixed_perp_half_hedge,151,0.20546216666365327,-6.582345181248214,11.237938485642868,6117.8865631761855,,,
dynamic_perp_decile_hedge,151,0.25080970908099026,-3.605102698572643,10.567978476249055,16974.066683656623,,,
