scenario,yield_split,lp_mean_%,lp_p5_%,rt_mean_%,rt_p5_%,joint_viable,score
low_fee_0.15pct_day,0.05,-2.1335077044798085,-10.326079441658452,0.0020202296224959234,-0.017227783577462585,False,-2.1364537869683016
low_fee_0.15pct_day,0.1,-2.127161304888761,-10.236393364105679,0.0020670348242585825,-0.017445452836039866,False,-2.1301212024328886
low_fee_0.15pct_day,0.15,-2.146028566038442,-10.15107720547769,0.0018820761853641673,-0.017422197286932044,False,-2.149184941420621
low_fee_0.15pct_day,0.2,-2.123145951303527,-10.37447934230672,0.002165731220543524,-0.017801285030843383,False,-2.1261040324701823
low_fee_0.15pct_day,0.25,-1.924727707579692,-9.402969362892351,0.0021123687784152193,-0.01763483887730066,False,-1.9276945535866254
low_fee_0.15pct_day,0.3,-2.078813808061658,-9.646431084367679,0.002275122757739524,-0.017256371413771444,False,-2.0814880844522756
low_fee_0.15pct_day,0.4,-2.1093892429037946,-10.013812778042343,0.0023552995268732026,-0.017199726034142677,False,-2.1119583312344767
mid_fee_0.23pct_day,0.05,-1.6939097216250187,-10.060171476375466,0.0021812212154610705,-0.017289888163184934,False,-1.696697344736967
mid_fee_0.23pct_day,0.1,-1.7496595922153968,-10.10519787877337,0.0018882806486147708,-0.017629092246775474,False,-1.752871211175953
mid_fee_0.23pct_day,0.15,-1.7422449552837633,-9.754168200717547,0.001916426515813401,-0.017837696200483172,False,-1.7454881949765135
mid_fee_0.23pct_day,0.2,-1.8919146888848049,-10.11873382486741,0.0013264142914676399,-0.01828971174370006,False,-1.8959425466873003
mid_fee_0.23pct_day,0.25,-1.884976827385219,-10.442729520954316,0.0018636710167919813,-0.01804995502608879,False,-1.8883417757745744
mid_fee_0.23pct_day,0.3,-1.8253982776128965,-10.511200195533076,0.0020156663028360455,-0.01815442572538093,False,-1.8286273723973911
mid_fee_0.23pct_day,0.4,-1.8220320739058893,-10.049312292252006,0.0017000331005168764,-0.01830119059618997,False,-1.8256523946741776
high_fee_0.35pct_day,0.05,-1.1973906074679912,-9.43172378685795,0.0020308708732399102,-0.017519244457042078,False,-1.2004124228445399
high_fee_0.35pct_day,0.1,-1.2019477413058426,-9.900456110041178,0.0021806378379110513,-0.01742138268190589,False,-1.2047754544887121
high_fee_0.35pct_day,0.15,-1.301746496056721,-10.396429486382674,0.00165136217439124,-0.01770726586904466,False,-1.3052421774256042
high_fee_0.35pct_day,0.2,-1.086361379923881,-9.173353728528982,0.002149256412058828,-0.01730327925038079,False,-1.0891881816457305
high_fee_0.35pct_day,0.25,-1.1872486254048389,-9.605969273022616,0.0018515528704528019,-0.017841064242297002,False,-1.19056423652003
high_fee_0.35pct_day,0.3,-1.1616369781663534,-9.272335509486457,0.0021010581845657575,-0.018139388190239396,False,-1.164767630620403
high_fee_0.35pct_day,0.4,-1.2335411356127375,-9.440739491559093,0.0019035827198941556,-0.01838153388645224,False,-1.2369616547867894
