scenario,representative_level,yield_split,lp_mean_%,rt_mean_%,joint_viable
low_fee_0.15pct_day,low,0.25,-1.924727707579692,0.0021123687784152193,False
low_fee_0.15pct_day,medium,0.2,-2.123145951303527,0.002165731220543524,False
low_fee_0.15pct_day,high,0.15,-2.146028566038442,0.0018820761853641673,False
mid_fee_0.23pct_day,low,0.05,-1.6939097216250187,0.0021812212154610705,False
mid_fee_0.23pct_day,medium,0.4,-1.8220320739058893,0.0017000331005168764,False
mid_fee_0.23pct_day,high,0.2,-1.8919146888848049,0.0013264142914676399,False
high_fee_0.35pct_day,low,0.2,-1.086361379923881,0.002149256412058828,False
high_fee_0.35pct_day,medium,0.05,-1.1973906074679912,0.0020308708732399102,False
high_fee_0.35pct_day,high,0.15,-1.301746496056721,0.00165136217439124,False
